UID	GeneID	Centroid_ctrl	Centroid_HRD
CHEK1	1111	0.56325156	-0.052306554
CHRNA5	1138	0.704942681	-0.065972359
CKB	1152	-0.928306608	0.360427223
CPE	1363	-0.859902887	0.345948246
CRIP2	1397	-0.882621747	0.434661854
CRYAB	1410	-1.385165071	0.31052885
CSE1L	1434	0.438796117	-0.204257201
CTSC	1075	0.366086834	-0.209947533
CYP4F3	4051	-1.483700667	0.259431165
DAPK1	1612	-0.974376971	0.275605397
DCC1	NA	1.110113533	-0.057409775
DCN	1634	-1.414966572	0.342441605
DDEFL1	NA	-0.968677355	0.248243129
DDIT3	1649	-1.256517258	0.375401799
DDX39	10212	0.495253734	-0.126445448
DEPDC1	55635	0.401000793	-0.220465455
DHFR	1719	0.777315412	-0.036327928
DKFZp762E1312	NA	0.548074156	-0.093503564
DLG7	NA	0.763077596	-0.150695257
DNA2L	NA	0.397474125	-0.199199343
DNMT1	1786	0.412783192	-0.363916478
DONSON	29980	0.442024067	-0.0583597
DPYSL3	1809	0.369996913	-0.038030643
DUT	1854	0.757604692	-0.02051325
E2F2	1870	0.944743722	-0.0524898
EFHD2	79180	0.4014894	-0.086763619
ESCO2	157570	0.728224011	-0.159328622
ESPL1	9700	0.42757669	-0.110130146
EXO1	9156	0.884217324	-0.096161836
FAM134B	54463	-1.027504674	0.28659176
FAM43A	131583	-0.853751705	0.059444575
FAM81A	145773	0.414024564	-0.069575549
FAM83D	81610	0.557383056	-0.050898052
FANCI	55215	0.625101388	-0.168674297
FBLN1	2192	-0.856022311	0.260781507
FDPS	2224	0.504619773	-0.105386588
FEN1	2237	0.715291884	-0.160681869
FHOD3	80206	0.692256059	-0.165212479
FLRT3	23767	-0.939456668	0.207808756
FOXO3	2309	-0.924046031	0.048082404
FXYD3	5349	-0.886103033	0.239533236
GEMIN6	79833	0.364273018	-0.053606908
GINS2	51659	0.955166095	-0.205854254
GINS3	64785	0.542317999	-0.187054102
GINS4	84296	0.574446224	-0.12219767
GJB2	2706	1.169986746	-0.130180929
GPSM1	26086	-1.631599325	0.056428716
HELLS	3070	0.582904398	-0.105855769
HIST1H1C	3006	-1.500154073	0.06983169
HIST1H2BD	3017	-1.187471871	0.2233828
HIST2H2AA3	8337	-1.400424057	0.07613647
HIST2H2BE	8349	-1.310747191	0.465384991
HLA-E	3133	-0.870956926	0.101230553
HMGB3	3149	0.645277514	-0.10935141
HSD11B2	3291	-1.409959626	0.374541573
HSD17B8	7923	-0.864953921	0.207315566
HSPCAL3	NA	0.349444465	-0.379114748
HSPE1	3336	0.381445283	-0.085702151
IL1R2	7850	0.554949813	-0.374940524
INSIG1	3638	0.461367491	-0.105062142
KCNB1	3745	-1.379297221	0.124370234
KIAA0513	9764	-0.881893522	0.272562495
KIF11	3832	0.46477838	-0.084950169
KIF14	9928	0.550879209	-0.209794945
KIF2C	11004	0.492736509	-0.070512682
KLHDC9	126823	-0.965297615	0.224025623
KNTC1	9735	0.427199886	-0.071044882
KRT6B	3854	0.467238481	-0.227890376
LAMB2	3913	-0.912700223	0.349706878
LEMD1	93273	-1.271139485	0.336904791
LHPP	64077	-0.792317411	0.168479903
LMNB2	84823	0.427385849	-0.168636661
LOC153222	NA	-1.183482186	0.235746486
LOC554223	NA	-0.838037976	0.209796767
LOC649679	NA	0.543509034	-0.170148882
LOC729843	NA	-0.994417234	0.209433897
LOC91431	NA	0.496669125	-0.088202168
LOH11CR2A	NA	-1.307527979	0.067598725
LRP8	7804	1.152021879	-0.197431804
LYRM5	144363	-0.90298401	0.076255267
MCM2	4171	0.448328105	-0.31478477
MCM3	4172	0.783536978	-0.098927264
MCM5	4174	0.570252434	-0.231509437
MCM7	4176	0.543212203	-0.36153378
METTL3	56339	0.465582191	-0.05498191
MLF1IP	79682	0.5344474	-0.108826168
MLKL	197259	0.734913399	-0.179899077
MME	4311	-0.979285954	0.538326532
MOSC1	64757	0.540854076	-0.1924037
MRTO4	51154	0.388486901	-0.138922547
MSH2	4436	0.412160412	-0.155758774
MSH6	2956	0.560892672	-0.068158905
MSX1	4487	0.468167629	-0.031667861
MT1G	4495	0.554883859	-0.72160713
MTBP	27085	0.423517801	-0.076620648
NCAPD3	23310	0.595873387	-0.077560792
NEIL3	55247	0.580563634	-0.055885219
NETO2	81831	0.372159758	-0.215485618
NFE2L1	4779	-0.901453773	0.251583344
NFIL3	4783	-1.099486323	0.089709586
NGFRAP1	27018	-0.850510748	0.148314074
NUP205	23165	0.456121176	-0.108590983
OIP5	11339	0.509605058	-0.096009207
PAQR4	124222	0.57064698	-0.155704571
PBK	55872	0.465772995	-0.186796356
PCNA	5111	0.400443647	-0.234407378
PDSS1	23590	0.520773251	-0.181081652
PDXP	57026	0.436075755	-0.177397373
PEX11G	92960	-0.882715792	0.206980691
PHLDA3	23612	-0.882603627	0.024598058
PKMYT1	9088	0.499317933	-0.183138608
PLCD1	5333	-1.105963391	0.073722553
PLEK2	26499	0.572751591	-0.398426797
PLK4	10733	0.545949386	-0.265281652
POLA2	23649	0.751981987	-0.122794424
POLD1	5424	0.44222612	-0.232841993
POLE2	5427	1.081135349	-0.106225972
POLQ	10721	0.736539035	-0.105696455
POLR3K	51728	0.52364241	-0.253139999
PPIL5	122769	0.447292136	-0.300615275
PPL	5493	-1.489368127	0.161094233
PRC1	9055	0.35037061	-0.269276629
PROS1	5627	-1.362855838	0.43644599
PRPF38A	84950	0.352672066	-0.086259723
RAD54B	25788	0.443682162	-0.077145407
RAD54L	8438	0.852365824	-0.104913458
RECQL4	9401	0.453865982	-0.057389589
RFC3	5983	0.586678777	-0.19925614
RFC4	5984	0.400963726	-0.139703989
RFC5	5985	0.584689977	-0.165083997
RIOK3	8780	-0.877819243	0.198063436
RNASEH2A	10535	0.452747995	-0.132175665
RRAGD	58528	-1.046880162	0.456671299
RRM2	6241	0.840832675	-0.227556782
SDCBP2	27111	-1.042633956	0.222037364
SERTAD4	56256	0.880582128	-0.197056488
SFPQ	6421	0.371353032	-0.045543887
SFRS2	6427	0.505919327	-0.091407819
SHCBP1	79801	0.445646242	-0.222678577
SIDT2	51092	-0.90568719	0.184751918
SLC25A10	1468	0.46117546	-0.077456295
SLC25A13	10165	0.675544663	-0.043829666
SLC45A3	85414	0.670080359	-0.097756755
SPC25	57405	0.940860233	-0.096168587
SRPK2	6733	-0.914616129	0.635698786
ST6GALNAC2	10610	-0.910199599	0.41184243
STAT2	6773	-1.31007291	0.064283938
SUV39H1	6839	0.473638623	-0.097398341
TACC3	10460	0.520034937	-0.118255312
TAF5	6877	0.467454584	-0.034819418
TERF1	7013	-0.852342977	0.221804877
TIGA1	NA	-1.284305671	0.104148981
TIMELESS	8914	0.46409918	-0.173123082
TINF2	26277	-0.985600116	0.053684887
TK1	7083	0.650491761	-0.164739926
TMC4	147798	-1.174454947	0.178303061
TMEM158	25907	0.486196572	-0.269418628
TMEM171	134285	0.520976119	-0.03517188
TMEM20	159371	0.466664394	-0.090654333
TNFRSF14	8764	-0.884650589	0.114843537
TRIP13	9319	0.669555946	-0.226531007
TTK	7272	0.555700072	-0.154060004
TUBA4A	7277	0.491284537	-0.118011652
TUBB2C	10383	0.575329502	-0.143614887
TUBB4Q	56604	0.520890504	-0.141151641
TXNIP	10628	-1.952057694	0.049420048
TYMS	7298	0.602473262	-0.071213764
UHRF1	29128	1.018638616	-0.168930763
VAMP5	10791	-0.911450327	0.070419082
VRK1	7443	0.532183692	-0.111359881
WDHD1	11169	0.335364923	-0.071755997
WDR79	NA	0.52384924	-0.063092193
WIPI1	55062	-0.896345458	0.177981134
XPC	7508	-0.877654557	0.143109739
YPEL5	51646	-0.88157387	0.219927197
ZBTB43	23099	-0.9016386	0.173980661
ZNF467	168544	-0.978037472	0.408830615
